Mã hàng;Mã vạch;Tên hàng;Thương hiệu;Giá bán;Giá vốn;Tồn kho;KH đặt;Dự kiến hết hàng;Tồn nhỏ nhất;Tồn lớn nhất;ĐVT;Mã ĐVT Cơ bản;Quy đổi;Thuộc tính;Mã HH Liên quan;Trọng lượng;Đang kinh doanh;Được bán trực tiếp;Giá sỉ
PVN178;8934868166924;DG Sunsilk vàng mềm mượt dịu kỳ chai 650g;Sunsilk;128.000,0;117.643,00;2,0;;;0,0;0,0;chai;;1,0;;;0,0;1;1;0,0
PVN459;8934868166252;DG Sunsilk vàng mềm mượt diệu kỳ dây;Sunsilk;10.000,0;7.745,00;0,0;;;0,0;0,0;dây;;1,0;;;0,0;1;1;0,0
8934868113584;8934868166191;DX Sunsilk đen óng mượt rạng ngời dây;Sunsilk;10.000,0;7.745,00;61,0;;;0,0;0,0;dây;;1,0;;;0,0;1;1;0,0
8934868113539;8934868156871;DX Sunsilk vàng mềm mướt diệu kỳ chai 320g;Sunsilk;78.000,0;68.103,00;0,0;;;0,0;0,0;chai;;1,0;;;0,0;1;1;0,0
8934868113515;8934868156918;DG Sunsilk đen óng mượt rạng ngời chai 320g;Sunsilk;76.000,0;65.581,00;0,0;;;0,0;0,0;chai;;1,0;;;0,0;1;1;0,0
8934868156932;8934868166238;DG Sunsilk đen óng mượt rạng ngời dây;Sunsilk;10.000,0;7.745,00;0,0;;;0,0;0,0;dây;;1,0;;;0,0;1;1;0,0
8934868166214;8934868166214;DX Sunsilk vàng mềm mượt dịu kỳ dây;Sunsilk;10.000,0;7.745,00;23,0;;;0,0;0,0;dây;;1,0;;;0,0;1;1;0,0
PVN5577;8934868166870;DG Sunsilk đen óng mượt rạng ngời chai 650g;Sunsilk;125.000,0;119.078,00;0,0;;;0,0;0,0;chai;;1,0;;;0,0;1;1;0,0
PVN5850;8934868166887;DG Sunsilk đen óng mượt rạng ngời chai 900g;Sunsilk;155.000,0;148.961,00;0,0;;;0,0;0,0;chai;;1,0;;;0,0;1;1;0,0
PVN5991;8934868166856;DG Sunsilk đen óng mượt rạng ngời chai 170g;Sunsilk;46.000,0;38.643,00;2,0;;;0,0;0,0;chai;;1,0;;;0,0;1;1;0,0
PVN6611;8934868156970;DG Sunsilk vàng mềm mượt dịu kỳ chai 320g;Sunsilk;78.000,0;67.262,00;1,0;;;0,0;0,0;chai;;1,0;;;0,0;1;1;0,0
8934868166931;8934868166931;DG Sunsilk vàng mềm mượt dịu kỳ chai 900g;Sunsilk;155.000,0;148.512,00;0,0;;;0,0;0,0;chai;;1,0;;;0,0;1;1;0,0
PVN9070;8934868185109;DG Sunsilk nâu bảo vệ tóc trước nguy cơ hư tổn chai 380ml;Sunsilk;89.000,0;82.571,00;1,0;;;0,0;0,0;chai;;1,0;;;0,0;1;1;0,0
PVN9071;8934868185086;DG Sunsilk xanh giảm gãy rụng vượt trội chai 380g;Sunsilk;89.000,0;82.571,00;0,0;;;0,0;0,0;chai;;1,0;;;0,0;1;1;0,0
8934868166825;8934868166825;DG Sunsilk ngăn rụng tóc tinh chất vỏ bưởi chai 650g;Sunsilk;118.000,0;105.283,00;0,0;;;0,0;0,0;chai;;1,0;;;0,0;1;1;0,0
8934868199489;8934868200246;DG Sunsilk đen óng mượt rạng ngời dây (10+2);Sunsilk;10.000,0;7.745,00;21,0;;;0,0;0,0;dây;;1,0;;;0,0;1;1;0,0
8934868199519;8934868199519;DG Sunsilk vàng mềm mượt dịu kỳ dây (10+2);Sunsilk;10.000,0;7.745,00;44,0;;;0,0;0,0;dây;;1,0;;;0,0;1;1;0,0
8934868200253;8934868200253;DG Sunsilk vàng mềm mượt diệu kỳ dây (10+2);Sunsilk;10.000,0;7.745,00;78,0;;;0,0;0,0;dây;;1,0;;;0,0;1;1;0,0
8934868196051;8934868196051;DG Sunsilk đen óng mượt rạng ngời chai 600g;Sunsilk;125.000,0;119.078,00;2,0;;;0,0;0,0;chai;;1,0;;;0,0;1;1;0,0
PVN169;8934868167204;BG Surf ngát hương xuân gói 380g;Surf;13.000,0;10.811,00;0,0;;;0,0;0,0;bịch;;1,0;;;0,0;1;1;0,0
PVN170;8934868159131;BG Surf ngát hương xuân bịch 800g;Surf;23.000,0;20.042,00;9,0;;;0,0;0,0;bịch;;1,0;;;0,0;1;1;0,0
PVN2126;8934868159179;BG Surf ngát hương xuấn bịch 2kg;Surf;50.000,0;43.727,00;2,0;;;0,0;0,0;gói;;1,0;;;0,0;1;1;0,0
PVN3465;8934868167211;BG Surf ngát hương xuân bịch 5.5kg;Surf;129.000,0;123.075,00;3,0;;;0,0;0,0;bịch;;1,0;;;0,0;1;1;0,0
8934868178323;8934868178323;NG Surf hương cỏ hoa dịu kỳ túi 2.9kg;Surf;95.000,0;84.939,00;4,0;;;0,0;0,0;túi;;1,0;;;0,0;1;1;0,0
8934868192084;8934868192084;NG Surf tím hương hoa cỏ huyền bí túi 3.6kg;Surf;110.000,0;101.652,00;4,0;;;0,0;0,0;túi;;1,0;;;0,0;1;1;0,0
8934868192060;8934868192060;NG Surf hương sương mai diệu mát túi 3.6kg;Surf;110.000,0;100.544,00;3,0;;;0,0;0,0;túi;;1,0;;;0,0;1;1;0,0
8934868192077;8934868192077;NG Surf hương cỏ hoa dịu kỳ túi 3.6kg;Surf;110.000,0;101.652,00;2,0;;;0,0;0,0;túi;;1,0;;;0,0;1;1;0,0
8934868195467;8934868195467;NG Surf hương hoa cỏ dịu kỳ chai 2.7kg;Surf;84.000,0;79.316,00;2,0;;;0,0;0,0;chai;;1,0;;;0,0;1;1;0,0
8934868195474;8934868195474;NG Surf hương hoa cỏ huyền bí chai 2.7kg;Surf;84.000,0;76.738,00;2,0;;;0,0;0,0;chai;;1,0;;;0,0;1;1;0,0
8934868178309;8934868178309;NG Surf hương sương mai dịu mát túi 2.9kg;Surf;95.000,0;84.939,00;4,0;;;0,0;0,0;túi;;1,0;;;0,0;1;1;0,0
8934868196228;8934868196228;NRC Surf hương chanh sả túi 3.2kg;Surf;52.000,0;45.900,00;7,0;;;0,0;0,0;túi;;1,0;;;0,0;1;1;0,0
8934868196167;8934868196167;NRC Surf hương chanh sả can 3.4kg;Surf;54.000,0;53.147,00;2,0;;;0,0;0,0;can;;1,0;;;0,0;1;1;0,0
8934868196600;8934868196600;NRC Surf hương chanh sả chai 750g;Surf;16.000,0;12.772,00;14,0;;;0,0;0,0;chai;;1,0;;;0,0;1;1;0,0
06821304;8934868196235;NRC Surf hương trà xanh & lá dứa túi 3.2kg;Surf;52.000,0;45.900,00;4,0;;;0,0;0,0;túi;;1,0;;;0,0;1;1;0,0
