Mã hàng;Mã vạch;Tên hàng;Thương hiệu;Giá bán;Giá vốn;Tồn kho;KH đặt;Dự kiến hết hàng;Tồn nhỏ nhất;Tồn lớn nhất;ĐVT;Mã ĐVT Cơ bản;Quy đổi;Thuộc tính;Mã HH Liên quan;Trọng lượng;Đang kinh doanh;Được bán trực tiếp;Giá sỉ
SP000058;8934868181989;NRC Surf hương tắc can 3.5kg;Surf;60.000,0;59.262,14;2,0;;;0,0;999.999.999,0;;;1,0;;;;1;1;0,0
SP000057;8934868196174;NRC Surf hương trà xanh lá dứa can 3.4kg;Surf;58.000,0;54.661,23;1,0;;;0,0;999.999.999,0;;;1,0;;;;1;1;0,0
SP000056;8934868187585;NG Surf tím hương hoa cỏ huyền bí túi 2.9kg;Surf;95.000,0;70.178,61;2,0;;;0,0;999.999.999,0;;;1,0;;;;1;1;0,0
SP000055;8934868186540;ST Lifebuoy Cica & muối hồng chai 800g;Lifebuoy;158.000,0;142.190,22;1,0;;;0,0;999.999.999,0;;;1,0;;;;1;1;0,0
SP000052;8934673102049;Sữa Vinamilk ít đường A2 bịch 220ml;Vinamilk;7.500,0;0,00;0,0;;;0,0;999.999.999,0;Bịch;;1,0;;;;1;1;0,0
SP000053;;Sữa Vinamilk ít đường A2 bịch 220ml;Vinamilk;72.000,0;0,00;0,0;;;0,0;99.999.999,90;Lóc;SP000052;10,0;;SP000052;;1;1;0,0
SP000054;;Sữa Vinamilk ít đường A2 bịch 220ml;Vinamilk;332.000,0;0,00;0,0;;;0,0;20.833.333,313;thùng;SP000052;48,0;;SP000052;;1;1;0,0
8934804051512;8934804051512;NESCAFÉ xanh 3in1 vị rang đậm hộp 340g;Nestle;63.000,0;61.000,00;10,0;;;0,0;999.999.999,0;;;1,0;;;;1;1;0,0
SP000051;8934707029144;Hạt nếm Knorr thịt thăn,xương ống bịch 170g;Knorr;17.000,0;0,00;0,0;;;0,0;999.999.999,0;;;1,0;;;;1;1;0,0
SP000050;8934707031284;Hạt nêm Knorr thịt thăn xương ống bịch 900g;Knorr;68.000,0;0,00;0,0;;;0,0;999.999.999,0;;;1,0;;;;1;1;0,0
SP000049;8934804027364;NESCAFÉ việt cafe đen đá bịch 592g;Nestle;132.000,0;127.000,00;5,0;;;0,0;999.999.999,0;;;1,0;;;;1;1;0,0
SP000048;;QUÀ KM;Babyskin;0,0;0,00;1,0;;;0,0;999.999.999,0;;;1,0;;;;1;1;0,0
SP000045;8935049017103;Sữa chua uống Nuvi vị cam chai 100ml;Nutifood;6.000,0;4.130,00;7,0;;;0,0;999.999.999,0;chai;;1,0;;;;1;1;0,0
SP000046;;Sữa chua uống Nuvi vị cam chai 100ml;Nutifood;28.000,0;24.780,00;1,167;;;0,0;166.666.666,50;Lóc;SP000045;6,0;;SP000045;;1;1;0,0
SP000047;;Sữa chua uống Nuvi vị cam chai 100ml;Nutifood;205.000,0;198.240,00;0,146;;;0,0;20.833.333,313;Thùng;SP000045;48,0;;SP000045;;1;1;0,0
8935049017097;8935049017097;Sữa chua uống Nuvi vị dâu chai 100ml;Nutifood;6.000,0;4.130,00;4,0;;;0,0;999.999.999,0;chai;;1,0;;;;1;1;0,0
8935049017097-1;;Sữa chua uống Nuvi vị dâu chai 100ml;Nutifood;28.000,0;24.780,00;0,667;;;0,0;166.666.666,50;Lóc;8935049017097;6,0;;8935049017097;;1;1;0,0
8935049017097-2;;Sữa chua uống Nuvi vị dâu chai 100ml;Nutifood;205.000,0;198.240,00;0,083;;;0,0;20.833.333,313;thùng;8935049017097;48,0;;8935049017097;;1;1;0,0
SP000044;8934680042888;Solite vị lá dứa hộp dài 360g;Kinh Đô;42.000,0;37.505,00;0,0;;;0,0;999.999.999,0;;;1,0;;;;1;1;0,0
SP000043;8934680042895;Solite vị dâu hộp dài 360g;Kinh Đô;42.000,0;37.505,00;0,0;;;0,0;999.999.999,0;;;1,0;;;;1;1;0,0
SP000042;8934680042871;Solite vị bơ sữa hộp dài hộp 360g;Kinh Đô;42.000,0;37.505,00;0,0;;;0,0;999.999.999,0;;;1,0;;;;1;1;0,0
SP000041;8934680012652;Bánh cua Kinh Đô bịch 29g;Kinh Đô;7.000,0;5.585,00;11,0;;;0,0;999.999.999,0;;;1,0;;;;1;1;0,0
8934680113878;8934680113878;Bánh Cosy quy sữa Marie gói 408g;Kinh Đô;40.000,0;35.280,00;6,0;;;0,0;999.999.999,0;;;1,0;;;;1;1;0,0
SP000040;8934680113861;Bánh qui sữa Cosy Marie hộp 336g;Kinh Đô;42.000,0;35.280,00;5,0;;;0,0;999.999.999,0;;;1,0;;;;1;1;0,0
SP000039;8934680040594;KĐ BMT Sandwich kẹp bơ đậu phộng gói 40g;Kinh Đô;7.000,0;4.629,63;0,0;;;0,0;999.999.999,0;;;1,0;;;;1;1;0,0
SP000038;;KĐ Bánh bông lan tươi hạt Socola gói 50g;Kinh Đô;7.000,0;5.555,56;6,0;;;0,0;999.999.999,0;;;1,0;;;;1;1;0,0
SP000037;8934680043212;KD Bánh bông lan tươi bơ nho bịch 38g;Kinh Đô;6.000,0;3.888,89;8,0;;;0,0;999.999.999,0;;;1,0;;;;1;1;0,0
SP000036;8934637513416;Tương ớt xí muội Cholimex chai 830g;Cholimex;30.000,0;27.800,00;8,0;;;0,0;999.999.999,0;;;1,0;;;;1;1;0,0
SP000033;8935001282440;Nước uống Kirin Imuse vị sữa chua và chanh chai 280ml;Wonderfarm;8.500,0;7.166,67;22,0;;;0,0;999.999.999,0;Chai;;1,0;;;;1;1;0,0
SP000034;;Nước uống Kirin Imuse vị sữa chua và chanh chai 280ml;Wonderfarm;48.000,0;43.000,02;3,667;;;0,0;166.666.666,50;Lóc;SP000033;6,0;;SP000033;;1;1;0,0
SP000035;;Nước uống Kirin Imuse vị sữa chua và chanh chai 280ml;Wonderfarm;178.000,0;172.000,08;0,917;;;0,0;41.666.666,625;Thùng;SP000033;24,0;;SP000033;;1;1;0,0
SP000032;8936025775505;Xúc xích mì dinh dưỡng Lúk Lắk vị thịt nướng phô mai;Kun;16.000,0;12.244,16;15,0;;;0,0;999.999.999,0;;;1,0;;;;1;1;0,0
SP000029;8936036025903;Bánh Custas vị phô mai măm xôi việt quốc hộp 282.2g;Chocopie;52.000,0;0,00;0,0;;;0,0;999.999.999,0;;;1,0;;;;1;1;0,0
SP000028;;A- BALO MILO A2;Nestle;0,0;0,00;17,0;;;0,0;999.999.999,0;;;1,0;;;;1;1;0,0
SP000027;6914973600362;Kẹo socola snicker gói 51g;Doublemint;24.000,0;20.018,00;7,0;;;0,0;999.999.999,0;;;1,0;;;0,0;1;1;0,0
SP000026;9555192506256;Kẹo Skittles vị truyền thống bịch 15g;Doublemint;5.000,0;3.750,00;0,0;;;0,0;999.999.999,0;;;1,0;;;0,0;1;1;0,0
SP000025;8936114080961;Kẹo Sing gum Cool air hương quả mọng hũ 55.4g;Doublemint;25.000,0;22.000,00;0,0;;;0,0;999.999.999,0;;;1,0;;;0,0;1;1;0,0
SP000024;8902433008924;Socola Snickers gói 12g;Doublemint;5.000,0;0,00;0,0;;;0,0;999.999.999,0;;;1,0;;;0,0;1;1;0,0
SP000023;8936029423471;Kẹo dẻo King hải tặc hương hỗn hợp bịch 25g;Orion;5.000,0;2.955,00;0,0;;;0,0;999.999.999,0;;;1,0;;;0,0;1;1;0,0
SP000022;8936029421941;Kẹo dẻo King Chun hương tổng hợp bịch 25g;Orion;5.000,0;2.955,00;0,0;;;0,0;999.999.999,0;;;1,0;;;0,0;1;1;0,0
8936036028652;8936036028652;Bánh khoai tây Tayo X vị phô mai cay bịch 28g;Orion;5.000,0;4.819,00;0,0;;;0,0;999.999.999,0;;;1,0;;;0,0;1;1;0,0
sm-60-23965;8934680025980;Bánh AFC lúa mì hộp 172g;Kinh Đô;28.000,0;23.000,00;0,0;;;0,0;0,0;hộp;;1,0;;;0,0;1;1;0,0
sm-60-23961;8934680025973;Bánh AFC rau cải hộp 172g;Kinh Đô;28.000,0;23.000,00;0,0;;;0,0;0,0;hộp;;1,0;;;0,0;1;1;0,0
sm-60-23969;8934680028035;Bánh AFC bò bít tết hộp 172g;Kinh Đô;28.000,0;23.000,00;0,0;;;0,0;0,0;hộp;;1,0;;;0,0;1;1;0,0
sm-60-57617;8934680028028;Bánh AFC vị tảo biển hộp 172g;Kinh Đô;28.000,0;23.000,00;0,0;;;0,0;0,0;hộp;;1,0;;;0,0;1;1;0,0
8934680115438;8934680115438;Bánh AFC vị gà sả tắc hộp 172g;Kinh Đô;28.000,0;23.000,00;0,0;;;0,0;0,0;hộp;;1,0;;;0,0;1;1;0,0
PVN424;8992760221028;Bánh Oreo vị vani 119.6g;Kinh Đô;17.000,0;13.034,00;2,0;;;0,0;0,0;gói;;1,0;;;0,0;1;1;0,0
PVN426;7622300136055;Bánh oreo vị dâu 119.6g;Kinh Đô;17.000,0;13.034,00;5,0;;;0,0;0,0;gói;;1,0;;;0,0;1;1;0,0
PVN428;8992760223015;Bánh oreo vị socola 119.6g;Kinh Đô;17.000,0;13.034,00;5,0;;;0,0;0,0;gói;;1,0;;;0,0;1;1;0,0
PVN429;7622300442507;Bánh oreo vị kem lạnh việt quất 119.6g;Kinh Đô;17.000,0;13.034,00;4,0;;;0,0;0,0;gói;;1,0;;;0,0;1;1;0,0
PVN3473;6901668053121;Oreo vị vani cây 64.4g;Kinh Đô;6.000,0;5.000,00;0,0;;;0,0;0,0;gói;;1,0;;;0,0;1;1;0,0
PVN4771;7622210580276;Oreo vị kem Socola cây 64.4g;Kinh Đô;6.000,0;5.000,00;0,0;;;0,0;0,0;gói;;1,0;;;0,0;1;1;0,0
PVN9310;7622210515278;Oreo mini vị socola bịch 20g;Kinh Đô;8.000,0;4.312,00;4,0;;;0,0;0,0;gói;;1,0;;;0,0;1;1;0,0
PVN9311;7622210515285;Oreo mini vị vani bịch 20g;Kinh Đô;8.000,0;4.400,00;8,0;;;0,0;0,0;gói;;1,0;;;0,0;1;1;0,0
sm-60-23991;8934680033107;Bánh quế Cosy vị kem lá dứa 117.6g;Kinh Đô;14.000,0;11.040,00;3,0;;;0,0;0,0;gói;;1,0;;;0,0;1;1;0,0
sm-60-23992;8934680033114;Bánh quế Cosy vị kem Socola 117.6g;Kinh Đô;14.000,0;11.040,00;4,0;;;0,0;0,0;gói;;1,0;;;0,0;1;1;0,0
8934680033091;8934680033633;Bánh quế Cosy vị xoài xí muội bịch 117,6g;Kinh Đô;14.000,0;11.040,00;0,0;;;0,0;0,0;gói;;1,0;;;0,0;1;1;0,0
8934680033084;8934680033084;Bánh quế Cosy vị kem dâu 117.6g;Kinh Đô;14.000,0;11.040,00;4,0;;;0,0;0,0;gói;;1,0;;;0,0;1;1;0,0
sm-63-25544;8934680011204;Khoai tây chiên Slide vị thịt nướng 150g;Kinh Đô;42.000,0;37.000,00;2,0;;;0,0;0,0;hộp;;1,0;;;0,0;1;1;0,0
sm-63-25541;8934680011709;Khoai tây chiên Slide vị phô mai 150g;Kinh Đô;42.000,0;37.000,00;3,0;;;0,0;0,0;hộp;;1,0;;;0,0;1;1;0,0
sm-63-38226;8934680012416;Khoai tây chiên Slide vị tảo biển 160g;Kinh Đô;42.000,0;37.000,00;0,0;;;0,0;0,0;hộp;;1,0;;;0,0;1;1;0,0
sm-63-25540;8934680011211;Khoai tây chiên Slide vị kem chua và hành 150g;Kinh Đô;42.000,0;37.000,00;3,0;;;0,0;0,0;hộp;;1,0;;;0,0;1;1;0,0
sm-63-25538;8934680011228;Khoai tây chiên Slide vị thơm cay 150g;Kinh Đô;42.000,0;37.000,00;0,0;;;0,0;0,0;hộp;;1,0;;;0,0;1;1;0,0
sm-49-57509;8934680011198;Khoai tây chiên Slide vị tự nhiên 150g;Kinh Đô;42.000,0;37.000,00;1,0;;;0,0;0,0;hộp;;1,0;;;0,0;1;1;0,0
PVN1472;8934680011686;Slide vị phô mai hộp 60g;Kinh Đô;27.000,0;21.070,00;0,0;;;0,0;0,0;hộp;;1,0;;;0,0;1;1;0,0
PVN1473;8934680011501;Slide vị tự nhiên hộp 60g;Kinh Đô;27.000,0;21.070,00;2,0;;;0,0;0,0;hộp;;1,0;;;0,0;1;1;0,0
PVN1474;8934680011488;Slide vị thịt nướng hộp 60g;Kinh Đô;27.000,0;21.070,00;2,0;;;0,0;0,0;hộp;;1,0;;;0,0;1;1;0,0
PVN2313;8934680011518;Slide vị hành hộp 60g;Kinh Đô;27.000,0;21.070,00;2,0;;;0,0;0,0;hộp;;1,0;;;0,0;1;1;0,0
PVN2314;8934680011495;Bánh khoai tây Slide vị Thơm cay 65g;Kinh Đô;27.000,0;20.855,00;0,0;;;0,0;0,0;hộp;;1,0;;;0,0;1;1;0,0
PVN4780;8934680015189;Slide vị Gà nướng Hàn Quốc 65g;Kinh Đô;27.000,0;21.500,00;0,0;;;0,0;0,0;hộp;;1,0;;;0,0;1;1;0,0
PVN4847;8934680015172;Khoai tây chiên Slide vị gà nướng hàn quốc 150g;Kinh Đô;42.000,0;35.500,00;0,0;;;0,0;0,0;hộp;;1,0;;;0,0;1;1;0,0
PVN8369;8934680016254;Slide vị Pizza Sò điệp và bào ngư hộp 60g;Kinh Đô;27.000,0;21.070,00;0,0;;;0,0;0,0;hộp;;1,0;;;0,0;1;1;0,0
PVN8785;8934680016278;Slide vị Pizza sò điệp và bào ngư hộp 150g;Kinh Đô;42.000,0;37.000,00;1,0;;;0,0;0,0;hộp;;1,0;;;0,0;1;1;0,0
PVN204;8936074609943;Bánh gạo nhật Ichi vị mật ong bịch 100g;One one;19.000,0;13.301,00;8,0;;;0,0;0,0;bịch;;1,0;;;0,0;1;1;0,0
PVN204-1;PVN6061;Bánh gạo nhật Ichi vị mật ong bịch 100g;One one;326.000,0;266.020,00;0,40;;;0,0;0,0;thùng;PVN204;20,0;;PVN204;0,0;1;1;0,0
PVN2979;8936074609950;Bánh gạo nhật Ichi vị mật ong bịch 180g;One one;28.000,0;23.000,00;5,0;;;0,0;0,0;bịch;;1,0;;;0,0;1;1;0,0
PVN2979-1;PVN5830;Bánh gạo nhật Ichi vị mật ong bịch 180g;One one;486.000,0;460.000,00;0,250;;;0,0;0,0;thùng;PVN2979;20,0;;PVN2979;0,0;1;1;0,0
PVN199;8936096670037;Bánh gạo One One vị tôm nướng bịch 150g;One one;22.000,0;17.667,00;1,0;;;0,0;0,0;bịch;;1,0;;;0,0;1;1;0,0
PVN202;8936096670129;Bánh gạo One One vị phô mai ngô bịch 118g;One one;23.000,0;20.000,00;1,0;;;0,0;0,0;bịch;;1,0;;;0,0;1;1;0,0
PVN202-1;PVN5829;Bánh gạo One One vị phô mai ngô bịch 118g;One one;422.000,0;400.000,00;0,050;;;0,0;0,0;thùng;PVN202;20,0;;PVN202;0,0;1;1;0,0
PVN203;8936096670013;Bánh gạo One One vị Ngọt dịu bịch 150g;One one;18.000,0;13.300,00;2,0;;;0,0;0,0;bịch;;1,0;;;0,0;1;1;0,0
PVN203-1;PVN6424;Bánh gạo One One vị Ngọt dịu bịch 150g;One one;282.000,0;266.000,00;0,10;;;0,0;0,0;thùng;PVN203;20,0;;PVN203;0,0;1;1;0,0
PVN1800;8936096670402;Bánh gạo One One vị sữa ngô bịch 150g;One one;19.000,0;13.300,00;0,0;;;0,0;0,0;Bịch;;1,0;;;0,0;1;1;0,0
PVN1800-1;PVN6690;Bánh gạo One One vị sữa ngô bịch 150g;One one;290.000,0;266.000,00;0,0;;;0,0;0,0;thùng;PVN1800;20,0;;PVN1800;0,0;1;1;0,0
PVN1801;8936096670365;Bánh gạo One One tảo biển bạch tuộc nướng bịch 104g;One one;23.000,0;18.000,00;3,0;;;0,0;0,0;bịch;;1,0;;;0,0;1;1;0,0
PVN1801-1;PVN6425;Bánh gạo One One tảo biển bạch tuộc nướng bịch 104g;One one;196.000,0;180.000,00;0,30;;;0,0;0,0;thùng;PVN1801;10,0;;PVN1801;0,0;1;1;0,0
PVN3166;8936096670501;Bánh gạo One One vị Ngọt dịu bịch bịch 230g;One one;22.000,0;18.000,00;0,0;;;0,0;0,0;bịch;;1,0;;;0,0;1;1;0,0
PVN3166-1;PVN5827;Bánh gạo One One vị Ngọt dịu bịch bịch 230g;One one;390.000,0;360.000,00;0,0;;;0,0;0,0;thùng;PVN3166;20,0;;PVN3166;0,0;1;1;0,0
PVN9482;8936096670709;Bánh gạo One One kẹp kem vị phô mai bịch 117g;One one;26.000,0;22.500,00;0,0;;;0,0;0,0;Bịch;;1,0;;;0,0;1;1;0,0
PVN9482-1;PVN9483;Bánh gạo One One kẹp kem vị phô mai bịch 117g;One one;480.000,0;450.000,00;0,0;;;0,0;0,0;thùng;PVN9482;20,0;;PVN9482;0,0;1;1;0,0
PVN2173;8934579014163;Mì chay rong biển Miliket gói 75g;Miliket;6.000,0;4.534,00;27,0;;;0,0;0,0;gói;;1,0;;;0,0;1;1;0,0
PVN2173-2;PVN2351;Mì chay rong biển Miliket gói 75g;Miliket;145.000,0;136.020,00;0,90;;;0,0;0,0;thùng;PVN2173;30,0;;PVN2173;0,0;1;1;0,0
PVN2173-1;PVN6452;Mì chay rong biển Miliket gói 75g;Miliket;54.000,0;45.340,00;2,70;;;0,0;0,0;10 gói;PVN2173;10,0;;PVN2173;0,0;1;1;0,0
PVN2174;8934579011353;Mì Miliket hương vị Hải sản gói 75g;Miliket;6.000,0;4.800,00;30,0;;;0,0;0,0;gói;;1,0;;;0,0;1;1;0,0
PVN2174-2;PVN2352;Mì Miliket hương vị Hải sản gói 75g;Miliket;145.000,0;144.000,00;1,0;;;0,0;0,0;thùng;PVN2174;30,0;;PVN2174;0,0;1;1;0,0
PVN2174-1;PVN6390;Mì Miliket hương vị Hải sản gói 75g;Miliket;54.000,0;48.000,00;3,0;;;0,0;0,0;lóc;PVN2174;10,0;;PVN2174;0,0;1;1;0,0
PVN2177;8934579011322;Mì Miliket hương vị Sa tế gói 75g;Miliket;6.000,0;4.800,00;26,0;;;0,0;0,0;gói;;1,0;;;0,0;1;1;0,0
PVN2177-2;PVN2348;Mì Miliket hương vị Sa tế gói 75g;Miliket;145.000,0;144.000,00;0,867;;;0,0;0,0;thùng;PVN2177;30,0;;PVN2177;0,0;1;1;0,0
PVN2177-1;PVN6391;Mì Miliket hương vị Sa tế gói 75g;Miliket;54.000,0;48.000,00;2,60;;;0,0;0,0;lóc;PVN2177;10,0;;PVN2177;0,0;1;1;0,0
PVN3399;8934579002146;Mì Miliket vị thập cẩm gói 75g;Miliket;5.000,0;4.500,00;20,0;;;0,0;0,0;gói;;1,0;;;0,0;1;1;0,0
PVN3399-1;PVN3400;Mì Miliket vị thập cẩm gói 75g;Miliket;45.000,0;45.000,00;2,0;;;0,0;0,0;chục;PVN3399;10,0;;PVN3399;0,0;1;1;0,0
PVN3399-2;PVN3401;Mì Miliket vị thập cẩm gói 75g;Miliket;120.000,0;135.000,00;0,667;;;0,0;0,0;thùng;PVN3399;30,0;;PVN3399;0,0;1;1;0,0
sm-139-27663;8934755010033;BVS Diana siêu thắm Super Night 29cm;Diana;17.000,0;15.379,00;5,0;;;0,0;0,0;gói;;1,0;;;0,0;1;1;0,0
sm-139-27688;8934755010231;BVS Diana siêu thắm Super Night 35cm;Diana;19.000,0;16.835,00;5,0;;;0,0;0,0;gói;;1,0;;;0,0;1;1;0,0
sm-139-27674;8934755010156;BVS Diana siêu thấm siêu mỏng có cánh 8 miếng;Diana;21.000,0;18.270,00;5,0;;;0,0;0,0;gói;;1,0;;;0,0;1;1;0,0
sm-139-27677;8934755010026;BVS Diana siêu thấm kiểm soát mùi Maxi có cánh 8 miếng;Diana;20.000,0;18.090,00;5,0;;;0,0;0,0;gói;;1,0;;;0,0;1;1;0,0
PVN2342;8934755014154;Diana hằng ngày kháng khuẩn 20m;Diana;16.000,0;14.206,00;5,0;;;0,0;0,0;gói;;1,0;;;0,0;1;1;0,0
PVN2781;8934755010408;Diana Sensi Cool Fresh ban đêm 35cm;Diana;20.000,0;17.640,00;5,0;;;0,0;0,0;gói;;1,0;;;0,0;1;1;0,0
PVN2834;8934755020063;Diana Cool Fresh siêu thấm;Diana;20.000,0;17.500,00;5,0;;;0,0;0,0;gói;;1,0;;;0,0;1;1;0,0
PVN3265;8934755010415;BVS Diana Cool Fresh ban đêm 29cm;Diana;21.000,0;16.188,00;5,0;;;0,0;0,0;gói;;1,0;;;0,0;1;1;0,0
PVN3269;8934755020100;Diana cool fresh dịu nhẹ hương hoa cúc 24cm;Diana;22.000,0;18.084,00;0,0;;;0,0;0,0;gói;;1,0;;;0,0;1;1;0,0
PVN5330;8934755010439;Diana sensi cool fresh siêu mỏng 20m (24cm);Diana;45.000,0;37.800,00;0,0;;;0,0;0,0;gói;;1,0;;;0,0;1;1;0,0
PVN6803;8934755020049;BVS Diana Sensi Cool Fresh có cánh 8 miếng;Diana;22.000,0;19.350,00;4,0;;;0,0;0,0;gói;;1,0;;;0,0;1;1;0,0
PVN6805;8934755014314;BVS Diana Sensi Cool Fresh không cánh 22 miếng;Diana;20.000,0;17.491,00;4,0;;;0,0;0,0;gói;;1,0;;;0,0;1;1;0,0
sm-139-27719;8935107200324;BVS Kotex siêu ban đêm mặt lưới có cánh 6 miếng 28cm;Kotex;18.000,0;14.500,00;4,0;;;0,0;0,0;gói;;1,0;;;0,0;1;1;0,0
sm-139-27721;8935107201970;BVS Kotex ban đêm mặt bông có canh 4 miếng 35cm;Kotex;18.000,0;15.500,00;4,0;;;0,0;0,0;gói;;1,0;;;0,0;1;1;0,0
sm-139-55790;8935107201192;BVS Kotex Max Cool siêu mỏng có cánh 8 miếng;Kotex;22.000,0;18.125,00;4,0;;;0,0;0,0;gói;;1,0;;;0,0;1;1;0,0
sm-139-52392;8888336008073;BVS Kotex kháng khuẩn 8 miếng mỏng;Kotex;7.000,0;6.000,00;4,0;;;0,0;0,0;gói;;1,0;;;0,0;1;1;0,0
sm-139-27703;8888336008936;BVS Kotex Khô thoáng siêu mỏng có cánh 8 miếng;Kotex;21.000,0;18.125,00;4,0;;;0,0;0,0;gói;;1,0;;;0,0;1;1;0,0
8888336008080;8888336008080;BVS Kotex hằng ngày kháng khuẩn 20 miếng mỏng;Kotex;17.000,0;13.750,00;6,0;;;0,0;0,0;gói;;1,0;;;0,0;1;1;0,0
PVN2117;8888336008929;BVS Kotex khô thoáng maxi 8 miếng có cánh;Kotex;20.000,0;17.500,00;6,0;;;0,0;0,0;gói;;1,0;;;0,0;1;1;0,0
PVN8095;8935107202793;BVS Kotex hằng ngày Maxcool bịch 20 miếng;Kotex;20.000,0;16.875,00;6,0;;;0,0;0,0;gói;;1,0;;;0,0;1;1;0,0
PVN9197;8888336033174;Kotex băng quần đêm size L;Kotex;34.000,0;29.000,00;6,0;;;0,0;0,0;gói;;1,0;;;0,0;1;1;0,0
PVN9390;8935107204087;Kotex siêu ban đêm mặt lưới 35cm ( 3M );Kotex;18.000,0;15.250,00;6,0;;;0,0;0,0;gói;;1,0;;;0,0;1;1;0,0
PVN9500;8888336037455;Kotex băng quần size L - XL bịch 2 cái;Kotex;32.000,0;32.000,00;6,0;;;0,0;0,0;gói;;1,0;;;0,0;1;1;0,0
SD8;;Sữa Susu IQ hương dâu chai 80ml;Vinamilk;5.000,0;3.449,00;107,0;;;0,0;0,0;chai;;1,0;;;0,0;1;1;0,0
SD8-1;8934673300513;Sữa Susu IQ hương dâu chai 80ml;Vinamilk;23.000,0;20.694,00;17,833;;;0,0;0,0;lóc;SD8;6,0;;SD8;0,0;1;1;0,0
SD8-2;SD8T;Sữa Susu IQ hương dâu chai 80ml;Vinamilk;182.000,0;165.552,00;2,229;;;0,0;0,0;thùng;SD8;48,0;;SD8;0,0;1;1;0,0
ST8;8934673319515;Sữa Susu IQ hương táo nho chai 80ml;Vinamilk;5.000,0;3.445,00;74,0;;;0,0;0,0;chai;;1,0;;;0,0;1;1;0,0
ST8-1;8934673300544;Sữa Susu IQ hương táo nho chai 80ml;Vinamilk;23.000,0;20.670,00;12,333;;;0,0;0,0;lóc;ST8;6,0;;ST8;0,0;1;1;0,0
ST8-2;ST8T;Sữa Susu IQ hương táo nho chai 80ml;Vinamilk;182.000,0;165.360,00;1,542;;;0,0;0,0;thùng;ST8;48,0;;ST8;0,0;1;1;0,0
SC1;;Sữa Susu IQ hương cam hộp 110ml;Vinamilk;6.000,0;3.956,00;8,80;;;0,0;0,0;hộp;;1,0;;;0,0;1;1;0,0
SC1-1;8934673300506;Sữa Susu IQ hương cam hộp 110ml;Vinamilk;18.000,0;15.824,00;2,20;;;0,0;0,0;lóc;SC1;4,0;;SC1;0,0;1;1;0,0
SC1-2;SC1T;Sữa Susu IQ hương cam hộp 110ml;Vinamilk;192.000,0;189.888,00;0,183;;;0,0;0,0;Thùng;SC1;48,0;;SC1;0,0;1;1;0,0
SC8;;Sữa Susu IQ hương cam chai 80ml;Vinamilk;5.000,0;3.347,00;17,80;;;0,0;0,0;chai;;1,0;;;0,0;1;1;0,0
SC8-1;8934673300483;Sữa Susu IQ hương cam chai 80ml;Vinamilk;23.000,0;20.082,00;2,967;;;0,0;0,0;lóc;SC8;6,0;;SC8;0,0;1;1;0,0
SC8-2;SC8T;Sữa Susu IQ hương cam chai 80ml;Vinamilk;182.000,0;160.656,00;0,371;;;0,0;0,0;thùng;SC8;48,0;;SC8;0,0;1;1;0,0
SD1;8934673401326;Sữa Susu IQ hương dâu hộp 110ml;Vinamilk;5.000,0;3.960,00;4,60;;;0,0;0,0;hộp;;1,0;;;0,0;1;1;0,0
SD1-1;8934673300537;Sữa Susu IQ hương dâu hộp 110ml;Vinamilk;18.000,0;15.840,00;1,150;;;0,0;0,0;lóc;SD1;4,0;;SD1;0,0;1;1;0,0
SD1-2;SD1T;Sữa Susu IQ hương dâu hộp 110ml;Vinamilk;192.000,0;190.080,00;0,096;;;0,0;0,0;thùng;SD1;48,0;;SD1;0,0;1;1;0,0
PVN927;8936078300020;Khăn giấy vuông Susu;Vinamilk;22.000,0;19.500,00;5,0;;;0,0;0,0;gói;;1,0;;;0,0;1;1;0,0
STN1;iqt110;Sữa Susu IQ hương táo nho hộp 110ml;Vinamilk;6.000,0;3.806,00;17,60;;;0,0;0,0;hộp;;1,0;;;0,0;1;1;0,0
STN1-1;8934673300568;Sữa Susu IQ hương táo nho hộp 110ml;Vinamilk;18.000,0;15.224,00;4,40;;;0,0;0,0;lóc;STN1;4,0;;STN1;0,0;1;1;0,0
STN1-2;8934673319324;Sữa Susu IQ hương táo nho hộp 110ml;Vinamilk;192.000,0;182.688,00;0,367;;;0,0;0,0;thùng;STN1;48,0;;STN1;0,0;1;1;0,0
PVN3074;8936048471248;Mì 3 miền GOLD Tôm chua cay đặc biệt cay gói 75g;3 Miền;4.000,0;3.590,00;29,0;;;0,0;0,0;gói;;1,0;;;0,0;1;1;0,0
PVN3074-1;PVN3074;Mì 3 miền GOLD Tôm chua cay đặc biệt cay gói 75g;3 Miền;38.000,0;35.900,00;2,90;;;0,0;0,0;lóc;PVN3074;10,0;;PVN3074;0,0;1;1;0,0
PVN3074-2;PVN7217;Mì 3 miền GOLD Tôm chua cay đặc biệt cay gói 75g;3 Miền;118.000,0;107.700,00;0,967;;;0,0;0,0;thùng;PVN3074;30,0;;PVN3074;0,0;1;1;0,0
SP000019;8936025775758;Manuka Trà Mật Ong Chanh 430mlx24;Kun;6.000,0;0,00;8,0;;;0,0;999.999.999,0;chai;;1,0;;;0,0;1;1;0,0
SP000020;;Manuka Trà Mật Ong Chanh 430mlx24;Kun;36.000,0;0,00;1,333;;;0,0;166.666.666,50;Lóc;SP000019;6,0;;SP000019;0,0;1;1;0,0
