ma_hang;ma_vach;ten_hang;thuong_hieu;gia_ban;gia_von;ton_kho;ton_nho_nhat;ton_lon_nhat;dvt;ma_dvt_co_ban;quy_doi;ma_hh_lien_quan;trong_luong;gia_si
SP000608;PVN6560;Sữa TopKid hương dâu chuối lúa mạch hộp 110ml;;20000;17320;1;;;lóc;SP000607;4;SP000607;;0
SP000609;8936079121525;Bánh Lay's vị kem chua hành 30g;Lays;6000;5200;0;;;bịch;;1;;;0
SP000610;8936079120061;Bánh Lay's vị tảo biển Nori;Lays;6000;5200;0;;;bịch;;1;;;0
SP000611;8936079120047;Bánh Lay's vàng vị khoai tây tự nhiên bịch 32g;Lays;6000;5200;0;;;bịch;;1;;;0
SP000612;8936079121754;Bánh Lays vi thăng bò nướng Texas;Lays;6000;5200;0;;;bịch;;1;;;0
SP000613;8936079120054;Bánh Lay's cam vị Sườn nướng gói 35g;Lays;6000;5200;0;;;bịch;;1;;;0
SP000614;8936079121679;Khoai tây chiên Lay's nâu vị mực tẩm cay Thái Wavy 29g;Lays;6000;4950;0;;;gói;;1;;;0
SP000615;8936079121105;Lay's vị Phô mai Cheddar gói 32g;Lays;6000;5200;0;;;gói;;1;;;0
SP000616;8850718804573;Bánh Snack Lay's Stax kem chua 100g;Lays;30000;27000;0;;;hộp;;1;;;0
SP000617;8850718803873;Khoai tây chiên Lay's vị tôm hùm cay Stax 105g;Lays;30000;27000;0;;;hộp;;1;;;0
SP000618;8850718808410;Khoai tây chiên Lay's Hot Chili Squid vị mực cay 105g;Lays;30000;27000;0;;;hộp;;1;;;0
SP000619;8850718803347;Khoai tây chiên Lay's vị tự nhiên Stax 105g;Lays;30000;27000;0;;;hộp;;1;;;0
SP000620;8936079120115;Bánh Lay's xanh lá vị tảo biển Nori 63g;Lays;10000;8200;0;;;gói;;1;;;0
SP000621;8936079121112;Snack khoai tây Lay's Wavy vị phô mai Cheddar 52g;Lays;10000;7455;0;;;gói;;1;;;0
SP000622;8936079120092;Khoai tây chiên Lay's vàng vị tự nhiên Classic 52g;Lays;10000;8200;0;;;gói;;1;;;0
SP000623;8936079121785;Bánh Lays vị kim chi Seoul 30g;Lays;6000;4438;0;;;gói;;1;;;0
SP000624;8936079120108;Bánh khoai tây Lays cam vị sườn nướng BBQ Brazil 52g;Lays;10000;8200;0;;;bịch;;1;;;0
