ma_hang;ma_vach;ten_hang;thuong_hieu;gia_ban;gia_von;ton_kho;ton_nho_nhat;ton_lon_nhat;dvt;ma_dvt_co_ban;quy_doi;ma_hh_lien_quan;trong_luong;gia_si
SP000001;8934868181989;NRC Surf hương tắc can 3.5kg;Surf;60000;59262;2;;;can;;1;;;0
SP000002;8934868196174;NRC Surf hương trà xanh lá dứa can 3.4kg;Surf;58000;54661;1;;;can;;1;;;0
SP000003;8934868187585;NG Surf tím hương hoa cỏ huyền bí túi 2.9kg;Surf;95000;70179;2;;;tui;;1;;;0
SP000004;8934868186540;ST Lifebuoy Cica & muối hồng chai 800g;Lifebuoy;158000;142190;1;;;chai;;1;;;0
SP000005;8934673102049;Sữa Vinamilk ít đường A2 bịch 220ml;Vinamilk;7500;0;0;;;Bịch;;1;;;0
SP000006;;Sữa Vinamilk ít đường A2 bịch 220ml;Vinamilk;72000;0;0;;;Lóc;SP000005;10;SP000005;;0
SP000007;;Sữa Vinamilk ít đường A2 bịch 220ml;Vinamilk;332000;0;0;;;thùng;SP000005;48;SP000005;;0
SP000008;8934804051512;NESCAFÉ xanh 3in1 vị rang đậm hộp 340g;Nestle;63000;61000;10;;;hộp;;1;;;0
SP000009;8934707029144;Hạt nếm Knorr thịt thăn,xương ống bịch 170g;Knorr;17000;0;0;;;Bịch;;1;;;0
SP000010;8934707031284;Hạt nêm Knorr thịt thăn xương ống bịch 900g;Knorr;68000;0;0;;;Bịch;;1;;;0
SP000011;8934804027364;NESCAFÉ việt cafe đen đá bịch 592g;Nestle;132000;127000;5;;;Bịch;;1;;;0
SP000013;8935049017103;Sữa chua uống Nuvi vị cam chai 100ml;Nutifood;6000;4130;7;;;chai;;1;;;0
SP000014;;Sữa chua uống Nuvi vị cam chai 100ml;Nutifood;28000;24780;1;;;Lóc;SP000013;6;SP000013;;0
SP000015;;Sữa chua uống Nuvi vị cam chai 100ml;Nutifood;205000;198240;0;;;Thùng;SP000013;48;SP000013;;0
SP000016;8935049017097;Sữa chua uống Nuvi vị dâu chai 100ml;Nutifood;6000;4130;4;;;chai;;1;;;0
SP000017;;Sữa chua uống Nuvi vị dâu chai 100ml;Nutifood;28000;24780;1;;;Lóc;SP000016;6;SP000016;;0
SP000018;;Sữa chua uống Nuvi vị dâu chai 100ml;Nutifood;205000;198240;0;;;thùng;SP000016;48;SP000016;;0
SP000019;8934680042888;Solite vị lá dứa hộp dài 360g;Kinh Đô;42000;37505;0;;;hộp;;1;;;0
SP000020;8934680042895;Solite vị dâu hộp dài 360g;Kinh Đô;42000;37505;0;;;hộp;;1;;;0
SP000021;8934680042871;Solite vị bơ sữa hộp dài hộp 360g;Kinh Đô;42000;37505;0;;;hộp;;1;;;0
SP000022;8934680012652;Bánh cua Kinh Đô bịch 29g;Kinh Đô;7000;5585;11;;;Bịch;;1;;;0
SP000023;8934680113878;Bánh Cosy quy sữa Marie gói 408g;Kinh Đô;40000;35280;6;;;gói;;1;;;0
SP000024;8934680113861;Bánh qui sữa Cosy Marie hộp 336g;Kinh Đô;42000;35280;5;;;hộp;;1;;;0
SP000025;8934680040594;KĐ BMT Sandwich kẹp bơ đậu phộng gói 40g;Kinh Đô;7000;4630;0;;;gói;;1;;;0
SP000026;;KĐ Bánh bông lan tươi hạt Socola gói 50g;Kinh Đô;7000;5556;6;;;gói;;1;;;0
SP000027;8934680043212;KD Bánh bông lan tươi bơ nho bịch 38g;Kinh Đô;6000;3889;8;;;gói;;1;;;0
SP000028;8934637513416;Tương ớt xí muội Cholimex chai 830g;Cholimex;30000;27800;8;;;Chai;;1;;;0
SP000029;8935001282440;Nước uống Kirin Imuse vị sữa chua và chanh chai 280ml;Wonderfarm;8500;7167;22;;;Chai;;1;;;0
SP000030;;Nước uống Kirin Imuse vị sữa chua và chanh chai 280ml;Wonderfarm;48000;43000;4;;;Lóc;SP000029;6;SP000029;;0
SP000031;;Nước uống Kirin Imuse vị sữa chua và chanh chai 280ml;Wonderfarm;178000;172000;1;;;Thùng;SP000029;24;SP000029;;0
SP000032;8936025775505;Xúc xích mì dinh dưỡng Lúk Lắk vị thịt nướng phô mai;Kun;16000;12244;15;;;hộp;;1;;;0
SP000033;8936036025903;Bánh Custas vị phô mai măm xôi việt quốc hộp 282.2g;Chocopie;52000;0;0;;;hộp;;1;;;0
SP000035;6914973600362;Kẹo socola snicker gói 51g;Doublemint;24000;20018;7;;;Bịch;;1;;;0
SP000036;9555192506256;Kẹo Skittles vị truyền thống bịch 15g;Doublemint;5000;3750;0;;;Bịch;;1;;;0
SP000037;8936114080961;Kẹo Sing gum Cool air hương quả mọng hũ 55.4g;Doublemint;25000;22000;0;;;hộp;;1;;;0
SP000038;8902433008924;Socola Snickers gói 12g;Doublemint;5000;0;0;;;Bịch;;1;;;0
SP000039;8936029423471;Kẹo dẻo King hải tặc hương hỗn hợp bịch 25g;Orion;5000;2955;0;;;Bịch;;1;;;0
SP000040;8936029421941;Kẹo dẻo King Chun hương tổng hợp bịch 25g;Orion;5000;2955;0;;;Bịch;;1;;;0
SP000041;8936036028652;Bánh khoai tây Tayo X vị phô mai cay bịch 28g;Orion;5000;4819;0;;;Bịch;;1;;;0
SP000042;8934680025980;Bánh AFC lúa mì hộp 172g;Kinh Đô;28000;23000;0;;;hộp;;1;;;0
SP000043;8934680025973;Bánh AFC rau cải hộp 172g;Kinh Đô;28000;23000;0;;;hộp;;1;;;0
SP000044;8934680028035;Bánh AFC bò bít tết hộp 172g;Kinh Đô;28000;23000;0;;;hộp;;1;;;0
SP000045;8934680028028;Bánh AFC vị tảo biển hộp 172g;Kinh Đô;28000;23000;0;;;hộp;;1;;;0
SP000046;8934680115438;Bánh AFC vị gà sả tắc hộp 172g;Kinh Đô;28000;23000;0;;;hộp;;1;;;0
SP000047;8992760221028;Bánh Oreo vị vani 119.6g;Kinh Đô;17000;13034;2;;;gói;;1;;;0
SP000048;7622300136055;Bánh oreo vị dâu 119.6g;Kinh Đô;17000;13034;5;;;gói;;1;;;0
SP000049;8992760223015;Bánh oreo vị socola 119.6g;Kinh Đô;17000;13034;5;;;gói;;1;;;0
SP000050;7622300442507;Bánh oreo vị kem lạnh việt quất 119.6g;Kinh Đô;17000;13034;4;;;gói;;1;;;0
SP000051;6901668053121;Oreo vị vani cây 64.4g;Kinh Đô;6000;5000;0;;;gói;;1;;;0
SP000052;7622210580276;Oreo vị kem Socola cây 64.4g;Kinh Đô;6000;5000;0;;;gói;;1;;;0
SP000053;7622210515278;Oreo mini vị socola bịch 20g;Kinh Đô;8000;4312;4;;;gói;;1;;;0
SP000054;7622210515285;Oreo mini vị vani bịch 20g;Kinh Đô;8000;4400;8;;;gói;;1;;;0
SP000055;8934680033107;Bánh quế Cosy vị kem lá dứa 117.6g;Kinh Đô;14000;11040;3;;;gói;;1;;;0
SP000056;8934680033114;Bánh quế Cosy vị kem Socola 117.6g;Kinh Đô;14000;11040;4;;;gói;;1;;;0
SP000057;8934680033633;Bánh quế Cosy vị xoài xí muội bịch 117,6g;Kinh Đô;14000;11040;0;;;gói;;1;;;0
SP000058;8934680033084;Bánh quế Cosy vị kem dâu 117.6g;Kinh Đô;14000;11040;4;;;gói;;1;;;0
SP000059;8934680011204;Khoai tây chiên Slide vị thịt nướng 150g;Kinh Đô;42000;37000;2;;;hộp;;1;;;0
SP000060;8934680011709;Khoai tây chiên Slide vị phô mai 150g;Kinh Đô;42000;37000;3;;;hộp;;1;;;0
SP000061;8934680012416;Khoai tây chiên Slide vị tảo biển 160g;Kinh Đô;42000;37000;0;;;hộp;;1;;;0
SP000062;8934680011211;Khoai tây chiên Slide vị kem chua và hành 150g;Kinh Đô;42000;37000;3;;;hộp;;1;;;0
SP000063;8934680011228;Khoai tây chiên Slide vị thơm cay 150g;Kinh Đô;42000;37000;0;;;hộp;;1;;;0
SP000064;8934680011198;Khoai tây chiên Slide vị tự nhiên 150g;Kinh Đô;42000;37000;1;;;hộp;;1;;;0
SP000065;8934680011686;Slide vị phô mai hộp 60g;Kinh Đô;27000;21070;0;;;hộp;;1;;;0
SP000066;8934680011501;Slide vị tự nhiên hộp 60g;Kinh Đô;27000;21070;2;;;hộp;;1;;;0
SP000067;8934680011488;Slide vị thịt nướng hộp 60g;Kinh Đô;27000;21070;2;;;hộp;;1;;;0
SP000068;8934680011518;Slide vị hành hộp 60g;Kinh Đô;27000;21070;2;;;hộp;;1;;;0
SP000069;8934680011495;Bánh khoai tây Slide vị Thơm cay 65g;Kinh Đô;27000;20855;0;;;hộp;;1;;;0
SP000070;8934680015189;Slide vị Gà nướng Hàn Quốc 65g;Kinh Đô;27000;21500;0;;;hộp;;1;;;0
SP000071;8934680015172;Khoai tây chiên Slide vị gà nướng hàn quốc 150g;Kinh Đô;42000;35500;0;;;hộp;;1;;;0
SP000072;8934680016254;Slide vị Pizza Sò điệp và bào ngư hộp 60g;Kinh Đô;27000;21070;0;;;hộp;;1;;;0
SP000073;8934680016278;Slide vị Pizza sò điệp và bào ngư hộp 150g;Kinh Đô;42000;37000;1;;;hộp;;1;;;0
SP000074;8936074609943;Bánh gạo nhật Ichi vị mật ong bịch 100g;One one;19000;13301;8;;;bịch;;1;;;0
SP000075;PVN6061;Bánh gạo nhật Ichi vị mật ong bịch 100g;One one;326000;266020;0;;;thùng;SP000074;20;SP000074;;0
SP000076;8936074609950;Bánh gạo nhật Ichi vị mật ong bịch 180g;One one;28000;23000;5;;;bịch;;1;;;0
SP000077;PVN5830;Bánh gạo nhật Ichi vị mật ong bịch 180g;One one;486000;460000;0;;;thùng;SP000076;20;SP000076;;0
SP000078;8936096670037;Bánh gạo One One vị tôm nướng bịch 150g;One one;22000;17667;1;;;bịch;;1;;;0
SP000079;8936096670129;Bánh gạo One One vị phô mai ngô bịch 118g;One one;23000;20000;1;;;bịch;;1;;;0
SP000080;PVN5829;Bánh gạo One One vị phô mai ngô bịch 118g;One one;422000;400000;0;;;thùng;SP000080;20;SP000080;;0
SP000081;8936096670013;Bánh gạo One One vị Ngọt dịu bịch 150g;One one;18000;13300;2;;;bịch;;1;;;0
SP000082;PVN6424;Bánh gạo One One vị Ngọt dịu bịch 150g;One one;282000;266000;0;;;thùng;SP000082;20;SP000082;;0
SP000083;8936096670402;Bánh gạo One One vị sữa ngô bịch 150g;One one;19000;13300;0;;;Bịch;;1;;;0
SP000084;PVN6690;Bánh gạo One One vị sữa ngô bịch 150g;One one;290000;266000;0;;;thùng;SP000084;20;SP000084;;0
SP000085;8936096670365;Bánh gạo One One tảo biển bạch tuộc nướng bịch 104g;One one;23000;18000;3;;;bịch;;1;;;0
SP000086;PVN6425;Bánh gạo One One tảo biển bạch tuộc nướng bịch 104g;One one;196000;180000;0;;;thùng;SP000086;10;SP000086;;0
SP000087;8936096670501;Bánh gạo One One vị Ngọt dịu bịch bịch 230g;One one;22000;18000;0;;;bịch;;1;;;0
SP000088;PVN5827;Bánh gạo One One vị Ngọt dịu bịch bịch 230g;One one;390000;360000;0;;;thùng;SP000088;20;SP000088;;0
SP000089;8936096670709;Bánh gạo One One kẹp kem vị phô mai bịch 117g;One one;26000;22500;0;;;Bịch;;1;;;0
SP000090;PVN9483;Bánh gạo One One kẹp kem vị phô mai bịch 117g;One one;480000;450000;0;;;thùng;SP000090;20;SP000090;;0
SP000091;8934579014163;Mì chay rong biển Miliket gói 75g;Miliket;6000;4534;27;;;gói;;1;;;0
SP000092;PVN2351;Mì chay rong biển Miliket gói 75g;Miliket;145000;136020;1;;;thùng;SP000091;30;SP000091;;0
SP000093;PVN6452;Mì chay rong biển Miliket gói 75g;Miliket;54000;45340;3;;;10 gói;SP000091;10;SP000091;;0
SP000094;8934579011353;Mì Miliket hương vị Hải sản gói 75g;Miliket;6000;4800;30;;;gói;;1;;;0
SP000095;PVN2352;Mì Miliket hương vị Hải sản gói 75g;Miliket;145000;144000;1;;;thùng;SP000094;30;SP000094;;0
SP000096;PVN6390;Mì Miliket hương vị Hải sản gói 75g;Miliket;54000;48000;3;;;lóc;SP000094;10;SP000094;;0
SP000097;8934579011322;Mì Miliket hương vị Sa tế gói 75g;Miliket;6000;4800;26;;;gói;;1;;;0
SP000098;PVN2348;Mì Miliket hương vị Sa tế gói 75g;Miliket;145000;144000;1;;;thùng;SP000097;30;SP000097;;0
SP000099;PVN6391;Mì Miliket hương vị Sa tế gói 75g;Miliket;54000;48000;3;;;lóc;SP000097;10;SP000097;;0
SP000100;8934579002146;Mì Miliket vị thập cẩm gói 75g;Miliket;5000;4500;20;;;gói;;1;;;0
SP000101;PVN3400;Mì Miliket vị thập cẩm gói 75g;Miliket;45000;45000;2;;;chục;SP000100;10;SP000100;;0
SP000102;PVN3401;Mì Miliket vị thập cẩm gói 75g;Miliket;120000;135000;1;;;thùng;SP000100;30;SP000100;;0
SP000103;8934755010033;BVS Diana siêu thắm Super Night 29cm;Diana;17000;15379;5;;;gói;;1;;;0
SP000104;8934755010231;BVS Diana siêu thắm Super Night 35cm;Diana;19000;16835;5;;;gói;;1;;;0
SP000105;8934755010156;BVS Diana siêu thấm siêu mỏng có cánh 8 miếng;Diana;21000;18270;5;;;gói;;1;;;0
SP000106;8934755010026;BVS Diana siêu thấm kiểm soát mùi Maxi có cánh 8 miếng;Diana;20000;18090;5;;;gói;;1;;;0
SP000107;8934755014154;Diana hằng ngày kháng khuẩn 20m;Diana;16000;14206;5;;;gói;;1;;;0
SP000108;8934755010408;Diana Sensi Cool Fresh ban đêm 35cm;Diana;20000;17640;5;;;gói;;1;;;0
SP000109;8934755020063;Diana Cool Fresh siêu thấm;Diana;20000;17500;5;;;gói;;1;;;0
SP000110;8934755010415;BVS Diana Cool Fresh ban đêm 29cm;Diana;21000;16188;5;;;gói;;1;;;0
SP000111;8934755020100;Diana cool fresh dịu nhẹ hương hoa cúc 24cm;Diana;22000;18084;0;;;gói;;1;;;0
SP000112;8934755010439;Diana sensi cool fresh siêu mỏng 20m (24cm);Diana;45000;37800;0;;;gói;;1;;;0
SP000113;8934755020049;BVS Diana Sensi Cool Fresh có cánh 8 miếng;Diana;22000;19350;4;;;gói;;1;;;0
SP000114;8934755014314;BVS Diana Sensi Cool Fresh không cánh 22 miếng;Diana;20000;17491;4;;;gói;;1;;;0
SP000115;8935107200324;BVS Kotex siêu ban đêm mặt lưới có cánh 6 miếng 28cm;Kotex;18000;14500;4;;;gói;;1;;;0
SP000116;8935107201970;BVS Kotex ban đêm mặt bông có canh 4 miếng 35cm;Kotex;18000;15500;4;;;gói;;1;;;0
SP000117;8935107201192;BVS Kotex Max Cool siêu mỏng có cánh 8 miếng;Kotex;22000;18125;4;;;gói;;1;;;0
SP000118;8888336008073;BVS Kotex kháng khuẩn 8 miếng mỏng;Kotex;7000;6000;4;;;gói;;1;;;0
SP000119;8888336008936;BVS Kotex Khô thoáng siêu mỏng có cánh 8 miếng;Kotex;21000;18125;4;;;gói;;1;;;0
SP000120;8888336008080;BVS Kotex hằng ngày kháng khuẩn 20 miếng mỏng;Kotex;17000;13750;6;;;gói;;1;;;0
SP000121;8888336008929;BVS Kotex khô thoáng maxi 8 miếng có cánh;Kotex;20000;17500;6;;;gói;;1;;;0
SP000122;8935107202793;BVS Kotex hằng ngày Maxcool bịch 20 miếng;Kotex;20000;16875;6;;;gói;;1;;;0
SP000123;8888336033174;Kotex băng quần đêm size L;Kotex;34000;29000;6;;;gói;;1;;;0
SP000124;8935107204087;Kotex siêu ban đêm mặt lưới 35cm ( 3M );Kotex;18000;15250;6;;;gói;;1;;;0
SP000125;8888336037455;Kotex băng quần size L - XL bịch 2 cái;Kotex;32000;32000;6;;;gói;;1;;;0
SD8;;Sữa Susu IQ hương dâu chai 80ml;Vinamilk;5000;3449;107;;;chai;;1;;;0
SD8L;8934673300513;Sữa Susu IQ hương dâu chai 80ml;Vinamilk;23000;20694;18;;;lóc;SD8;6;SD8;;0
SD8T;SD8T;Sữa Susu IQ hương dâu chai 80ml;Vinamilk;182000;165552;2;;;thùng;SD8;48;SD8;;0
ST8;8934673319515;Sữa Susu IQ hương táo nho chai 80ml;Vinamilk;5000;3445;74;;;chai;;1;;;0
ST8L;8934673300544;Sữa Susu IQ hương táo nho chai 80ml;Vinamilk;23000;20670;12;;;lóc;ST8;6;ST8;;0
ST8T;ST8T;Sữa Susu IQ hương táo nho chai 80ml;Vinamilk;182000;165360;2;;;thùng;ST8;48;ST8;;0
SC1;;Sữa Susu IQ hương cam hộp 110ml;Vinamilk;6000;3956;9;;;hộp;;1;;;0
SC1L;8934673300506;Sữa Susu IQ hương cam hộp 110ml;Vinamilk;18000;15824;2;;;lóc;SC1;4;SC1;;0
SC1T;SC1T;Sữa Susu IQ hương cam hộp 110ml;Vinamilk;192000;189888;0;;;Thùng;SC1;48;SC1;;0
SC8;;Sữa Susu IQ hương cam chai 80ml;Vinamilk;5000;3347;18;;;chai;;1;;;0
SC8L;8934673300483;Sữa Susu IQ hương cam chai 80ml;Vinamilk;23000;20082;3;;;lóc;SC8;6;SC8;;0
SC8T;SC8T;Sữa Susu IQ hương cam chai 80ml;Vinamilk;182000;160656;0;;;thùng;SC8;48;SC8;;0
SD1;8934673401326;Sữa Susu IQ hương dâu hộp 110ml;Vinamilk;5000;3960;5;;;hộp;;1;;;0
SD1L;8934673300537;Sữa Susu IQ hương dâu hộp 110ml;Vinamilk;18000;15840;1;;;lóc;SD1;4;SD1;;0
SD1T;SD1T;Sữa Susu IQ hương dâu hộp 110ml;Vinamilk;192000;190080;0;;;thùng;SD1;48;SD1;;0
SP000141;8936078300020;Khăn giấy vuông Susu;Vinamilk;22000;19500;5;;;gói;;1;;;0
STN1;iqt110;Sữa Susu IQ hương táo nho hộp 110ml;Vinamilk;6000;3806;18;;;hộp;;1;;;0
STN1L;8934673300568;Sữa Susu IQ hương táo nho hộp 110ml;Vinamilk;18000;15224;4;;;lóc;STN1;4;STN1;;0
STN1T;8934673319324;Sữa Susu IQ hương táo nho hộp 110ml;Vinamilk;192000;182688;0;;;thùng;STN1;48;STN1;;0
SP000145;8936048471248;Mì 3 miền GOLD Tôm chua cay đặc biệt cay gói 75g;3 Miền;4000;3590;29;;;gói;;1;;;0
SP000146;PVN3074;Mì 3 miền GOLD Tôm chua cay đặc biệt cay gói 75g;3 Miền;38000;35900;3;;;lóc;SP000145;10;SP000145;;0
SP000147;PVN7217;Mì 3 miền GOLD Tôm chua cay đặc biệt cay gói 75g;3 Miền;118000;107700;1;;;thùng;SP000145;30;SP000145;;0
SP000148;8936025775758;Manuka Trà Mật Ong Chanh 430mlx24;Kun;6000;0;8;;;chai;;1;;;0
SP000149;;Manuka Trà Mật Ong Chanh 430mlx24;Kun;36000;0;1;;;Lóc;SP000148;6;SP000148;;0
SP000150;;Manuka Trà Mật Ong Chanh 430mlx24;Kun;144000;0;0;;;thùng;SP000148;24;SP000148;;0
SP000151;8935136867185;LKM PURITE hương anh đào chai 50ml;Xmen;68000;0;1;;;chai;;1;;;0
SP000152;8936029421781;Bánh con cá Bống Bang vị mochi sôcôla đậu đỏ bịch 145g;Chocopie;25000;20800;0;;;bịch;;1;;;0
SP000153;PVN8243;Bánh con cá Bống Bang vị mochi sôcôla đậu đỏ bịch 145g;Chocopie;265000;249600;0;;;thùng;SP000154;12;SP000154;;0
SP000154;8936029424997;Bánh Bống Bang vị Mochi cốm xanh đậu đỏ bịch 145g;Chocopie;25000;20000;0;;;bịch;;1;;;0
SP000155;PVN9264;Bánh Bống Bang vị Mochi cốm xanh đậu đỏ bịch 145g;Chocopie;265000;240000;0;;;thùng;SP000154;12;SP000154;;0
SP000156;8934988500400;NRC Power 100 hương chanh chai 1.4kg;Cái Lân;32000;28454;7;;;chai;;1;;;0
SP000157;PVN6128;NRC Power 100 hương chanh chai 1.4kg;Cái Lân;244000;227632;1;;;thùng;SP000156;8;SP000156;;0
SP000158;8934988500363;NRC Power 100 hương tinh dầu chanh can 3.5kg;Cái Lân;63000;60157;4;;;chai;;1;;;0
SP000159;PVN6125;NRC Power 100 hương tinh dầu chanh can 3.5kg;Cái Lân;248000;240628;1;;;thùng;SP000158;4;SP000158;;0
SP000160;8934988503364;NRC Power 100 siêu tiết kiệm hương chanh can 3.5kg;Cái Lân;62000;59800;3;;;can;;1;;;0
SP000161;PVN6124;NRC Power 100 siêu tiết kiệm hương chanh can 3.5kg;Cái Lân;245000;239200;1;;;thùng;SP000160;4;SP000160;;0
SP000162;8934669030059;NRC Power 100 siêu tiết kiệm hương chanh túi 3.5kg;Cái Lân;54000;50300;0;;;túi;;1;;;0
SP000163;PVN6123;NRC Power 100 siêu tiết kiệm hương chanh túi 3.5kg;Cái Lân;212000;201200;0;;;thùng;SP000162;4;SP000162;;0
SP000164;8934988503319;NRC Power siêu tiết kiệm hương chanh chai dài 750g;Cái Lân;16000;14125;24;;;chai;;1;;;0
SP000165;PVN9010;NRC Power siêu tiết kiệm hương chanh chai dài 750g;Cái Lân;236000;339000;1;;;thùng;SP000164;24;SP000164;;0
SP000166;PVN9334;NRC Power siêu tiết kiệm hương chanh chai 400ml;Cái Lân;9000;6275;0;;;chai;;1;;;0
SP000167;PVN9334-1;NRC Power siêu tiết kiệm hương chanh chai 400ml;Cái Lân;172000;150600;0;;;thùng;SP000166;24;SP000166;;0
SP000168;8936036025521;Miz bánh quy socola 2 gói;Orion;10000;8182;0;;;hộp;;1;;;0
SP000169;PVN5344;Miz bánh quy socola 2 gói;Orion;168000;163640;0;;;Thùng;SP000168;20;SP000168;;0
SP000170;8936036028591;Jungle boy vị phô mai lắc bùng nổ hộp 31.6g;Orion;10000;7988;0;;;hộp;;1;;;0
SP000171;PVN9351;Jungle boy vị phô mai lắc bùng nổ hộp 31.6g;Orion;168000;159760;0;;;thùng;SP000170;20;SP000170;;0
SP000172;8936029423761;Jungle Boy vị bò bít tết hộp 35g;Orion;10000;7988;0;;;hộp;;1;;;0
SP000173;PVN9346;Jungle Boy vị bò bít tết hộp 35g;Orion;200000;159760;0;;;thùng;SP000172;20;SP000172;;0
SP000174;8936036021165;Marine boy vị tôm nướng 35g;Orion;10000;8850;0;;;hộp;;1;;;0
SP000175;PVN9044;Marine boy vị tôm nướng 35g;Orion;172000;177000;0;;;thùng;SP000174;20;SP000174;;0
SP000176;8936036021172;Marine boy vị rong biển 35g;Orion;10000;8046;0;;;hộp;;1;;;0
SP000177;PVN8908;Marine boy vị rong biển 35g;Orion;172000;160920;0;;;thùng;SP000176;20;SP000176;;0
SP000178;8936036025040;Marine boy vị gà BBQ hộp;Orion;10000;7989;0;;;hộp;;1;;;0
SP000179;PVN9101;Marine boy vị gà BBQ hộp;Orion;172000;159780;0;;;thùng;SP000178;20;SP000178;;0
SP000180;8936036029031;Bánh Marine boy king vị tảo biển Nori bịch 56g;Orion;10000;7997;0;;;bịch;;1;;;0
SP000181;PVN9549;Bánh Marine boy king vị tảo biển Nori bịch 56g;Orion;88000;79970;0;;;thùng;SP000180;10;SP000180;;0
SP000182;8936029424003;Bánh Marine boy king vị Pizza bịch 50g;Orion;10000;7997;0;;;bịch;;1;;;0
SP000183;PVN9550;Bánh Marine boy king vị Pizza bịch 50g;Orion;88000;79970;0;;;thùng;SP000182;10;SP000182;;0
SP000184;8936029425550;Marine boy vị gà sốt bơ tỏi hộp 35g;Orion;10000;7988;0;;;hộp;;1;;;0
SP000185;PVN9327;Marine boy vị gà sốt bơ tỏi hộp 35g;Orion;168000;159760;0;;;thùng;SP000184;20;SP000184;;0
SP000186;8935001813972;Viết lông dầu xanh PM-09;Thiên long;9000;7500;18;;;cây;;1;;;0
SP000187;8993175531894;Bánh hộp kem Nabati 160g;Nabati;30000;23500;0;;;hộp;;1;;;0
SP000188;8993175535885;Nabati vị socola gói 50g;Nabati;6000;4916;16;;;bịch;;1;;;0
SP000189;8993175535878;Nabati vàng vị phô mai gói 50g;Nabati;6000;4917;15;;;bịch;;1;;;0
SP000190;8993175532648;Bánh Nabati vàng vị phô mai hộp 320g;Nabati;38000;31500;2;;;hộp;;1;;;0
SP000191;8993175533157;Bánh Nabati vị socola hộp 320g;Nabati;36000;31667;0;;;hộp;;1;;;0
SP000192;8993175547123;Nabati phô mai than hoạt tính 50g;Nabati;6000;5300;15;;;bịch;;1;;;0
SP000193;8993175542098;Bánh Nabati vị Phô mai 20g;Nabati;3000;2400;19;;;gói;;1;;;0
SP000194;8993175542128;Bánh Nabati vị Socola 20g;Nabati;3000;2500;24;;;gói;;1;;;0
SP000195;8993175552837;Nabati vị Cookies cream gói 50g;Nabati;6000;5300;0;;;gói;;1;;;0
SP000196;9995475564892;Nabati vị kem sữa chua dâu tây 50g;Nabati;6000;5300;11;;;gói;;1;;;0
SP000197;8993175564878;Nabati vị phô mai dâu gói 20g;Nabati;3000;2183;9;;;bịch;;1;;;0
SP000198;8993175564892;Nabati vị phô mai dâu bịch 50g;Nabati;6000;4834;19;;;bịch;;1;;;0
SP000199;8996001303627;Bánh quy bơ Danisa hộp 454g;Danisa;128000;118000;0;;;hộp;;1;;;0
SP000200;PVN7642;Bánh quy bơ Danisa hộp 454g;Danisa;1500000;1416000;0;;;thùng;SP000199;12;SP000199;;0
SP000201;8996001303658;Bánh quy bơ Danisa hộp 908g;Danisa;236000;226000;0;;;hộp;;1;;;0
SP000202;PVN7867;Bánh quy bơ Danisa hộp 908g;Danisa;1408000;1356000;0;;;thùng;SP000201;6;SP000201;;0
SP000203;8996001303078;Bánh quy bơ Danisa hộp hộp 681g;Danisa;180000;170000;0;;;hộp;;1;;;0
SP000204;PVN7866;Bánh quy bơ Danisa hộp hộp 681g;Danisa;1069000;1020000;0;;;thùng;SP000203;6;SP000203;;0
SP000205;PVN9439;Bánh qui bơ Danisa hộp 200g;Danisa;60000;52000;0;;;hộp;;1;;;0
SP000206;8935049501596;Nước soda Schweppes lon 320ml;Coca;7500;5584;0;;;lon;;1;;;0
SP000207;PVN6214;Nước soda Schweppes lon 320ml;Coca;42000;33504;0;;;lóc;SP000206;6;SP000206;;0
SP000208;PVN6215;Nước soda Schweppes lon 320ml;Coca;158000;134016;0;;;thùng;SP000206;24;SP000206;;0
SP000209;8935001822295;Viết chì Thiên Long 2B GP-01;Thiên long;5000;3000;95;;;cây;;1;;;0
SP000210;8935001820574;Viết chì Thiên Long GP-04;Thiên long;6000;3500;58;;;cây;;1;;;0
SP000211;8935001819097;Viết chì Thiên Long TP-GP012;Thiên long;5000;2600;40;;;cây;;1;;;0
SP000212;8935001855149;Viết gel xanh xóa được Thiên Long TP-GELE01;Thiên long;10000;8300;55;;;cây;;1;;;0
SP000213;8935001803768;Viết xanh Thiên Long TL-079;Thiên long;4000;3400;138;;;cây;;1;;;0
SP000214;8935001829386;Viết gel tím xóa được Thiên Long TL-Gele01;Thiên long;10000;8100;104;;;cây;;1;;;0
SP000215;8935001804925;Viết đen Thiên Long TL-079;Thiên long;4000;3400;71;;;cây;;1;;;0
SP000216;8935001804918;Viết đỏ Thiên Long TP-079;Thiên long;4000;3400;44;;;cây;;1;;;0
SP000217;8935001804871;Bút bi đỏ Thiên Long;Thiên long;3000;2500;17;;;cây;;1;;;0
SP000218;8935001801337;Viết xanh Thiên Long TL-031;Thiên long;10000;8200;41;;;cây;;1;;;0
SP000219;8935001813460;Bút Highlighter Thiên Long HL-012;Thiên long;9000;7800;0;;;cây;;1;;;0
SP000220;8935001810308;Bút dạ quang Thiên Long HL-03;Thiên long;8000;6300;45;;;cây;;1;;;0
SP000221;8935001810087;Viết lông xanh Thiên Long WB-03;Thiên long;8000;6400;22;;;cây;;1;;;0
SP000222;CH-03;Chuốt viết chì Thiên Long;Thiên long;3000;2500;4;;;cái;;1;;;0
SP000223;8935001846932;Gôm đen E011 Thiên Long;Thiên long;5000;3400;143;;;cục;;1;;;0
